"","Period","Sex","Age","Count"
"1",2008,"Male","Infant",198
"2",2008,"Male","1–4",45
"3",2008,"Male","5–9",18
"4",2008,"Male","10–14",33
"5",2008,"Male","15–19",132
"6",2008,"Male","20–24",153
"7",2008,"Male","25–29",120
"8",2008,"Male","30–34",123
"9",2008,"Male","35–39",189
"10",2008,"Male","40–44",249
"11",2008,"Male","45–49",366
"12",2008,"Male","50–54",477
"13",2008,"Male","55–59",711
"14",2008,"Male","60–64",978
"15",2008,"Male","65–69",1260
"16",2008,"Male","70–74",1506
"17",2008,"Male","75–79",2148
"18",2008,"Male","80–84",2529
"19",2008,"Male","85–89",2040
"20",2008,"Male","90–94",978
"21",2008,"Male","95–99",249
"22",2008,"Male","100 and over",39
"23",2008,"Male","Total",14535
"24",2008,"Female","Infant",126
"25",2008,"Female","1–4",36
"26",2008,"Female","5–9",18
"27",2008,"Female","10–14",18
"28",2008,"Female","15–19",66
"29",2008,"Female","20–24",54
"30",2008,"Female","25–29",54
"31",2008,"Female","30–34",63
"32",2008,"Female","35–39",132
"33",2008,"Female","40–44",177
"34",2008,"Female","45–49",240
"35",2008,"Female","50–54",345
"36",2008,"Female","55–59",567
"37",2008,"Female","60–64",684
"38",2008,"Female","65–69",858
"39",2008,"Female","70–74",1146
"40",2008,"Female","75–79",1611
"41",2008,"Female","80–84",2367
"42",2008,"Female","85–89",2847
"43",2008,"Female","90–94",2151
"44",2008,"Female","95–99",918
"45",2008,"Female","100 and over",171
"46",2008,"Female","Total",14655
"47",2008,"Total","Infant",321
"48",2008,"Total","1–4",81
"49",2008,"Total","5–9",39
"50",2008,"Total","10–14",51
"51",2008,"Total","15–19",195
"52",2008,"Total","20–24",207
"53",2008,"Total","25–29",171
"54",2008,"Total","30–34",189
"55",2008,"Total","35–39",324
"56",2008,"Total","40–44",426
"57",2008,"Total","45–49",603
"58",2008,"Total","50–54",822
"59",2008,"Total","55–59",1278
"60",2008,"Total","60–64",1662
"61",2008,"Total","65–69",2118
"62",2008,"Total","70–74",2655
"63",2008,"Total","75–79",3762
"64",2008,"Total","80–84",4893
"65",2008,"Total","85–89",4884
"66",2008,"Total","90–94",3129
"67",2008,"Total","95–99",1167
"68",2008,"Total","100 and over",210
"69",2008,"Total","Total",29187
"70",2009,"Male","Infant",168
"71",2009,"Male","1–4",36
"72",2009,"Male","5–9",12
"73",2009,"Male","10–14",27
"74",2009,"Male","15–19",132
"75",2009,"Male","20–24",153
"76",2009,"Male","25–29",108
"77",2009,"Male","30–34",162
"78",2009,"Male","35–39",174
"79",2009,"Male","40–44",252
"80",2009,"Male","45–49",369
"81",2009,"Male","50–54",528
"82",2009,"Male","55–59",654
"83",2009,"Male","60–64",990
"84",2009,"Male","65–69",1248
"85",2009,"Male","70–74",1533
"86",2009,"Male","75–79",2055
"87",2009,"Male","80–84",2442
"88",2009,"Male","85–89",2070
"89",2009,"Male","90–94",1014
"90",2009,"Male","95–99",318
"91",2009,"Male","100 and over",33
"92",2009,"Male","Total",14478
"93",2009,"Female","Infant",138
"94",2009,"Female","1–4",33
"95",2009,"Female","5–9",21
"96",2009,"Female","10–14",27
"97",2009,"Female","15–19",54
"98",2009,"Female","20–24",45
"99",2009,"Female","25–29",66
"100",2009,"Female","30–34",63
"101",2009,"Female","35–39",117
"102",2009,"Female","40–44",183
"103",2009,"Female","45–49",291
"104",2009,"Female","50–54",408
"105",2009,"Female","55–59",462
"106",2009,"Female","60–64",681
"107",2009,"Female","65–69",870
"108",2009,"Female","70–74",1125
"109",2009,"Female","75–79",1470
"110",2009,"Female","80–84",2352
"111",2009,"Female","85–89",2895
"112",2009,"Female","90–94",2136
"113",2009,"Female","95–99",864
"114",2009,"Female","100 and over",186
"115",2009,"Female","Total",14484
"116",2009,"Total","Infant",306
"117",2009,"Total","1–4",72
"118",2009,"Total","5–9",33
"119",2009,"Total","10–14",54
"120",2009,"Total","15–19",183
"121",2009,"Total","20–24",201
"122",2009,"Total","25–29",174
"123",2009,"Total","30–34",225
"124",2009,"Total","35–39",288
"125",2009,"Total","40–44",438
"126",2009,"Total","45–49",660
"127",2009,"Total","50–54",939
"128",2009,"Total","55–59",1113
"129",2009,"Total","60–64",1668
"130",2009,"Total","65–69",2118
"131",2009,"Total","70–74",2661
"132",2009,"Total","75–79",3522
"133",2009,"Total","80–84",4794
"134",2009,"Total","85–89",4962
"135",2009,"Total","90–94",3150
"136",2009,"Total","95–99",1179
"137",2009,"Total","100 and over",219
"138",2009,"Total","Total",28962
"139",2010,"Male","Infant",186
"140",2010,"Male","1–4",36
"141",2010,"Male","5–9",12
"142",2010,"Male","10–14",24
"143",2010,"Male","15–19",117
"144",2010,"Male","20–24",141
"145",2010,"Male","25–29",96
"146",2010,"Male","30–34",99
